N0,G,X,Z,R,F,,,,,,,,
90,0,160,60,,,,,,,,,,
100,,,,,,T0002,,,,,,,
110,1,147,65.25,,4000,,,,,,,,
120,3,,161.5,500,,,,,,,,,
130,2,142,69.6,500,4000,,,,,,,,
140,1,147,65.25,,,,,,,,,,
150,,142,69.6,,,,,,,,,,
160,3,,162.15,500,,,,,,,,,
170,2,137,73.92,500,,,,,,,,,
180,1,144,67.85,,,,,,,,,,
190,,137,73.92,,,,,,,,,,
200,3,,162.8,500,,,,,,,,,
210,2,132,78.25,500,,,,,,,,,
220,1,139,72.2,,,,,,,,,,
230,,132,78.25,,,,,,,,,,
240,3,,163.45,500,,,,,,,,,
250,2,127,82.6,500,,,,,,,,,
260,1,134,76.5,,,,,,,,,,
270,,127,82.6,,,,,,,,,,
280,3,,164.1,500,,,,,,,,,
290,2,122,86.91,500,,,,,,,,,
300,1,129,80.85,,,,,,,,,,
310,,122,86.91,,,,,,,,,,
320,3,,164.75,500,,,,,,,,,
330,2,117,91.25,500,,,,,,,,,
340,1,124,85.15,,,,,,,,,,
350,,117,91.25,,,,,,,,,,
360,3,,165.4,500,,,,,,,,,
370,2,112,95.56,500,,,,,,,,,
380,1,119,89.5,,,,,,,,,,
390,,112,95.56,,,,,,,,,,
400,3,,166.05,500,,,,,,,,,
410,2,107,99.9,500,,,,,,,,,
420,1,114,93.85,,,,,,,,,,
430,,107,99.9,,,,,,,,,,
440,3,,166.7,500,,,,,,,,,
450,2,102,104.22,500,,,,,,,,,
460,1,109,98.15,,,,,,,,,,
470,,102,104.22,,,,,,,,,,
480,3,,167.35,500,,,,,,,,,
490,2,97,108.55,500,,,,,,,,,
500,1,104,102.5,,,,,,,,,,
510,,97,108.55,,,,,,,,,,
520,3,,168,500,,,,,,,,,
530,2,92,112.9,500,,,,,,,,,
540,1,99,106.8,,,,,,,,,,
550,,92,112.9,,,,,,,,,,
560,3,,168.65,500,,,,,,,,,
570,2,87,117.21,500,,,,,,,,,
580,1,94,111.15,,,,,,,,,,
590,,87,117.21,,,,,,,,,,
600,3,,169.3,500,,,,,,,,,
610,2,82,121.55,500,,,,,,,,,
620,1,89,115.5,,,,,,,,,,
630,,82,121.55,,,,,,,,,,
640,3,,169.95,500,,,,,,,,,
650,2,77,125.87,500,,,,,,,,,
660,1,84,119.8,,,,,,,,,,
670,,77,125.87,,,,,,,,,,
680,3,,170.6,500,,,,,,,,,
690,2,72,130.2,500,,,,,,,,,
700,1,79,124.15,,,,,,,,,,
710,,72,130.2,,,,,,,,,,
720,3,,171.25,500,,,,,,,,,
0,2,70.9,131.2,500,,,,,,,,,
0,1,70.9,175,,1500,,,,,,,,
780,0,160,,,,,,,,U,39,,
0,,,,,,T0000,,,,,,,
0,0,190,148,,8000,M,40,M,42,,,,
,0,270,,,,,,,,,,,
,1,298,,,2000,,,,,,,,
,1,312,,,100,,,,,,,,
,1,300,,,3000,,,,,,,,
,0,280,,,,,,,,,,,
,28,,,,,,,,,U,0,W,0
,,,,,,M,38,,,,,,
,,,,,,M,43,,,,,,
,,,,,,M,41,M,39,,,,
,,,,,,M,99,,,,,,
